EndArea,avgDist,avgDur
ALBANY PARK,3646.660517914,17.794749911
ARCHER HEIGHTS,2701.176722599,20.594787576
ARMOUR SQUARE,3250.806426332,25.102416405
ASHBURN,4427.877877238,27.320140665
AUBURN GRESHAM,3634.710285505,29.887606759
AUSTIN,3734.893967304,25.262794535
AVALON PARK,2585.069206349,21.471291005
AVONDALE,3113.547060663,14.606092349
BELMONT CRAGIN,2945.821264473,17.218343748
BEVERLY,3977.748603352,21.513345748
BRIDGEPORT,3497.911245353,19.001285626
BRIGHTON PARK,2446.833478945,17.785220455
BURNSIDE,4458.375634518,29.467005076
CALUMET HEIGHTS,3407.73907979,26.976994758
CHATHAM,3106.617651796,23.053245289
CHICAGO LAWN,3378.172768344,24.22344602
CLEARING,3718.7680798,24.440024938
DOUGLAS,2929.34955565,21.283509663
DUNNING,3887.630962005,20.986708434
EAST GARFIELD PARK,4767.460477941,30.292070057
EAST SIDE,4788.045356371,31.022390209
EDGEWATER,2840.978649858,13.41232886
EDISON PARK,4294,20.135772358
ENGLEWOOD,3413.882931628,28.409583538
FOREST GLEN,4384.411764706,22.125188537
FULLER PARK,3849.160377358,21.013954403
GAGE PARK,2742.771834584,20.432433871
GARFIELD RIDGE,3874.634313725,21.607091503
GRAND BOULEVARD,3513.749479941,23.553699851
GREATER GRAND CROSSING,3800.961165049,27.083708057
HEGEWISCH,4112.336976321,20.296205222
HERMOSA,2979.489708141,15.259953917
HUMBOLDT PARK,3535.944840481,20.557239687
HYDE PARK,2464.674786443,15.914377698
IRVING PARK,3344.727289211,16.83048353
JEFFERSON PARK,3969.221343874,18.447068511
KENWOOD,3297.65917603,20.605787409
LAKE VIEW,2410.737302409,11.32359547
LINCOLN PARK,2532.227148816,13.04552676
LINCOLN SQUARE,3215.788786238,13.880899791
LOGAN SQUARE,2825.058206748,13.22328718
LOOP,4935.648854962,56.399554707
LOWER WEST SIDE,3200.43023038,17.087578822
MCKINLEY PARK,2837.734834912,18.923492023
MONTCLARE,2690.936820926,18.98453387
MORGAN PARK,4324.030325444,27.601688856
MOUNT GREENWOOD,4062.019033675,15.949780381
NEAR NORTH SIDE,2960.892665536,16.05444256
NEAR SOUTH SIDE,2955.319237304,22.202384998
NEAR WEST SIDE,2818.30040037,15.194751052
NEW CITY,3100.958139535,26.791527419
NORTH CENTER,3072.303297133,13.728617552
NORTH LAWNDALE,5132.797006745,31.290612704
NORTH PARK,4052.50931677,22.464557453
NORWOOD PARK,4001.218068536,21.81298027
OAKLAND,3473.681690141,25.05241784
OHARE,4934.681818182,30.856818182
PORTAGE PARK,3230.462642256,16.936640277
PULLMAN,4845.95997191,31.967778558
RIVERDALE,6844.612903226,49.956057348
ROGERS PARK,2792.007801744,16.117152363
ROSELAND,3938.818628281,32.15635055
SOUTH CHICAGO,3264.311502939,27.390479522
SOUTH DEERING,3572.827240143,27.130633214
SOUTH LAWNDALE,2410.1149814,16.238236952
SOUTH SHORE,3357.375105485,25.924099859
UPTOWN,2755.960712973,12.857624035
WASHINGTON HEIGHTS,3850.688445667,33.076203576
WASHINGTON PARK,3213.473097113,22.198550962
WEST ELSDON,2871.984866123,20.352735739
WEST ENGLEWOOD,3707.828174784,34.151873767
WEST GARFIELD PARK,4449.903023983,33.551468544
WEST LAWN,3496.552012149,22.26330043
WEST PULLMAN,3825.979426892,33.331814842
WEST RIDGE,3762.468390805,21.31904933
WEST TOWN,2637.673855677,13.411861595
WOODLAWN,4034.156162856,25.21692229