EndArea,numberOfTrip
LAKE VIEW,98562
LINCOLN PARK,78869
WEST TOWN,61390
NEAR WEST SIDE,32470
LOGAN SQUARE,29756
NEAR NORTH SIDE,28891
UPTOWN,27210
HYDE PARK,18145
EDGEWATER,14754
BELMONT CRAGIN,10882
NORTH CENTER,10221
LINCOLN SQUARE,9417
ROGERS PARK,8716
AUSTIN,8686
HUMBOLDT PARK,8557
PORTAGE PARK,8084
CHICAGO LAWN,6419
AVONDALE,6396
GAGE PARK,6263
CHATHAM,6209
SOUTH LAWNDALE,5914
ROSELAND,5905
NEW CITY,5805
BRIGHTON PARK,5723
IRVING PARK,5515
AUBURN GRESHAM,5464
LOWER WEST SIDE,5339
NEAR SOUTH SIDE,5297
NORTH LAWNDALE,4744
SOUTH SHORE,4740
WEST ENGLEWOOD,4394
ENGLEWOOD,4066
WEST LAWN,3951
GREATER GRAND CROSSING,3914
MCKINLEY PARK,3907
KENWOOD,3738
WOODLAWN,3586
SOUTH CHICAGO,3573
WEST ELSDON,3436
GRAND BOULEVARD,3365
EAST GARFIELD PARK,3264
HERMOSA,3255
WASHINGTON PARK,3048
WASHINGTON HEIGHTS,2908
ALBANY PARK,2819
ARCHER HEIGHTS,2801
WEST RIDGE,2784
WEST PULLMAN,2722
ARMOUR SQUARE,2552
MONTCLARE,2485
DUNNING,2474
DOUGLAS,2363
BRIDGEPORT,2152
WEST GARFIELD PARK,1918
CALUMET HEIGHTS,1717
BEVERLY,1611
AVALON PARK,1575
ASHBURN,1564
PULLMAN,1424
SOUTH DEERING,1395
MOUNT GREENWOOD,1366
MORGAN PARK,1352
NORTH PARK,1288
GARFIELD RIDGE,1020
EAST SIDE,926
OAKLAND,710
HEGEWISCH,549
JEFFERSON PARK,506
RIVERDALE,465
FULLER PARK,424
CLEARING,401
NORWOOD PARK,321
LOOP,262
FOREST GLEN,221
BURNSIDE,197
EDISON PARK,41
OHARE,22