StartArea,avgDist,avgDur
ALBANY PARK,2930.163934426,15.070535519
ARCHER HEIGHTS,2332.167764825,21.029810779
ARMOUR SQUARE,2510.283343213,23.312161628
ASHBURN,3288.200896861,22.604170404
AUBURN GRESHAM,3157.071765817,29.023194051
AUSTIN,3124.036146293,24.122880793
AVALON PARK,2002.995107632,19.072325506
AVONDALE,2107.187646861,12.437590914
BELMONT CRAGIN,2424.634787953,16.342841631
BEVERLY,3243.928942808,17.852339688
BRIDGEPORT,2774.436599424,17.027821806
BRIGHTON PARK,2096.716890814,17.72114201
BURNSIDE,3510.105263158,25.195614035
CALUMET HEIGHTS,2875.050251256,25.900600223
CHATHAM,2598.718376068,21.820345442
CHICAGO LAWN,2860.440265014,23.404676925
CLEARING,2048.323671498,20.680676328
DOUGLAS,1977.652987326,18.866364917
DUNNING,2924.965517241,20.040394089
EAST GARFIELD PARK,4219.543209877,30.163102881
EAST SIDE,4350.90083632,28.75834329
EDGEWATER,2250.142872318,11.34395581
EDISON PARK,1331.434782609,9.557971015
ENGLEWOOD,2919.286826956,28.089959363
FOREST GLEN,2851.827868852,18.733743169
FULLER PARK,2236.656565657,13.776936027
GAGE PARK,2409.387124649,20.048329373
GARFIELD RIDGE,2934.906360424,20.957891637
GRAND BOULEVARD,2804.818315377,21.315891283
GREATER GRAND CROSSING,3079.226384365,24.64439468
HEGEWISCH,3651.602385686,18.213750828
HERMOSA,2024.647607935,14.12214119
HUMBOLDT PARK,2755.396181854,19.90624549
HYDE PARK,2230.932286619,15.117786608
IRVING PARK,2305.9158138,14.332122813
JEFFERSON PARK,2784.864864865,14.113513514
KENWOOD,2568.512690355,18.130911591
LAKE VIEW,2004.82766526,9.971842542
LINCOLN PARK,2135.439212065,11.860128305
LINCOLN SQUARE,2624.573224852,11.62313856
LOGAN SQUARE,2159.870095707,11.266212384
LOOP,1941.128205128,50.484615385
LOWER WEST SIDE,2344.060597676,14.155460247
MCKINLEY PARK,2542.616939365,18.128157416
MONTCLARE,2166.505084746,18.872391714
MORGAN PARK,3727.025287356,25.710076628
MOUNT GREENWOOD,3853.303571429,15.090217391
NEAR NORTH SIDE,2151.305635204,13.738268282
NEAR SOUTH SIDE,2217.07960445,19.698570251
NEAR WEST SIDE,2328.143084894,13.63206656
NEW CITY,2497.721640489,25.958678738
NORTH CENTER,2443.390672205,11.449521652
NORTH LAWNDALE,5198.084594595,32.381698198
NORTH PARK,3256.70125,20.014833333
NORWOOD PARK,2078.790322581,16.003225806
OAKLAND,2249.662686567,22.565472637
OHARE,1632.875,29.4125
PORTAGE PARK,2759.404531276,16.280640836
PULLMAN,4231.689990282,28.595610625
RIVERDALE,6289.41221374,46.113358779
ROGERS PARK,2326.553475548,14.971486964
ROSELAND,3351.204995693,30.237360034
SOUTH CHICAGO,2714.307235622,26.066357452
SOUTH DEERING,3072.095813953,27.328868217
SOUTH LAWNDALE,1966.477786919,15.299297271
SOUTH SHORE,2504.759635187,22.931695597
UPTOWN,2312.415237657,11.38663636
WASHINGTON HEIGHTS,3241.292775665,32.192751901
WASHINGTON PARK,2718.663712457,21.465944526
WEST ELSDON,2578.685458613,20.298396719
WEST ENGLEWOOD,3004.198993189,31.966661731
WEST GARFIELD PARK,3335.767156863,31.938779956
WEST LAWN,3278.414650538,22.183837366
WEST PULLMAN,3469.400542495,32.076446655
WEST RIDGE,2718.964749536,17.370470006
WEST TOWN,2087.712613234,11.771494655
WOODLAWN,2971.644386423,21.787954743