TripDate,numberOfTrip
09/05/2020,12820
08/29/2020,12297
08/30/2020,11673
09/26/2020,11356
09/07/2020,11087
09/13/2020,11048
09/04/2020,10778
08/22/2020,10596
09/19/2020,10559
09/25/2020,10127
09/20/2020,9732
10/10/2020,9714
09/06/2020,9483
08/28/2020,9239
10/09/2020,8990
09/27/2020,8796
09/03/2020,8663
11/07/2020,8569
09/02/2020,8450
08/23/2020,8162
09/24/2020,8030
08/26/2020,7938
10/11/2020,7872
08/21/2020,7869
09/16/2020,7822
09/23/2020,7743
08/31/2020,7526
09/15/2020,7500
08/27/2020,7395
09/17/2020,7327
09/18/2020,7293
09/11/2020,7207
09/22/2020,7032
08/25/2020,6887
08/16/2020,6868
09/12/2020,6735
10/03/2020,6654
10/17/2020,6462
08/15/2020,6371
11/08/2020,6370
10/02/2020,6364
08/24/2020,6328
10/04/2020,6268
10/07/2020,6234
09/14/2020,6144
08/18/2020,6110
11/06/2020,5940
10/08/2020,5889
08/19/2020,5830
10/14/2020,5673
08/14/2020,5588
10/06/2020,5588
09/30/2020,5538
10/16/2020,5321
10/24/2020,5147
09/29/2020,5145
10/13/2020,5141
08/17/2020,5123
09/09/2020,5091
10/31/2020,5084
10/22/2020,4866
09/21/2020,4787
08/20/2020,4757
08/13/2020,4719
10/15/2020,4660
09/01/2020,4553
10/05/2020,4496
10/01/2020,4469
11/03/2020,4423
09/10/2020,4384
11/09/2020,4179
09/28/2020,4058
11/05/2020,3961
08/12/2020,3812
11/04/2020,3673
10/12/2020,3575
10/21/2020,3521
10/25/2020,3426
11/20/2020,3405
09/08/2020,3246
10/30/2020,3204
10/28/2020,3044
11/19/2020,2981
11/21/2020,2899
10/23/2020,2839
10/29/2020,2791
10/20/2020,2788
11/13/2020,2766
11/12/2020,2720
10/19/2020,2684
11/10/2020,2651
11/14/2020,2622
11/11/2020,2544
10/18/2020,2387
11/28/2020,2312
11/02/2020,2291
12/05/2020,2201
11/01/2020,2046
10/26/2020,2034
11/18/2020,1963
12/04/2020,1957
10/27/2020,1908
11/22/2020,1879
11/16/2020,1812
12/10/2020,1809
11/17/2020,1806
11/27/2020,1780
11/23/2020,1759
11/29/2020,1752
12/09/2020,1713
12/02/2020,1550
12/03/2020,1530
12/06/2020,1424
11/26/2020,1375
11/15/2020,1302
12/01/2020,1278
12/07/2020,1255
11/25/2020,1235
12/08/2020,1214
11/24/2020,1017
11/30/2020,988
12/11/2020,902
12/12/2020,607